No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
877,CYOk3nVJRUV,Mubunda Dispensary,CYOk3nVJRUV,105616-7,uhd4IDnvsSv,Kagera,Muleba District Council,Mubunda Dispensary,Mubunda Dispensary,,CDC,MDH,2
878,IKrAalkk9H6,Makangarawe Dispensary,IKrAalkk9H6,104082-3,rxyw5KwX4Dm,Dar es Salaam,Temeke Municipal Council,Makangarawe Dispensary,Makangarawe Dispensary,,CDC,MDH,2
879,xZ9xI45qKrl,Cheyo Dispensary,xZ9xI45qKrl,100773-1,rZeC7B855pG,Tabora,Tabora Municipal Council,Cheyo Dispensary,Cheyo Dispensary,,CDC,MDH,2
880,ukzWqtvYo5W,Igayaza Dispensary,ukzWqtvYo5W,101537-9,rWWUR2jPiYc,Kagera,Missenyi District Council,Igayaza Dispensary,Igayaza Dispensary,,CDC,MDH,2
881,uJxYvkTCVVo,Murongo Health Center,uJxYvkTCVVo,105705-8,dNkgFHx2VDI,Kagera,Kyerwa District Council,Murongo Health Center,Murongo Health Center,,CDC,MDH,2
882,SnREeu7B85W,Kahororo Dispensary,SnREeu7B85W,102186-4,c4Qu7OCavSi,Kagera,Bukoba Municipal Council,Kahororo Dispensary,Kahororo Dispensary,,CDC,MDH,2
883,t2iHstMDPXU,Buyuni Dispensary,t2iHstMDPXU,100633-7,db1k9jc5qjq,Dar es Salaam,Ilala Municipal Council,Buyuni Dispensary,Buyuni Dispensary,,CDC,MDH,2
884,GnIbZhXEmZZ,Kigogo Dispensary,GnIbZhXEmZZ,102710-1,PlVCbgZUt3d,Dar es Salaam,Kinondoni Municipal Council,Kigogo Dispensary,Kigogo Dispensary,,CDC,MDH,2
885,igtNJ3oXoBQ,Buhekela Dispensary,igtNJ3oXoBQ,100472-0,RSCJ3wnhmYf,Tabora,Igunga District Council,Buhekela Dispensary,Buhekela Dispensary,,CDC,MDH,2
886,I9gz5IHdb9b,Gerezani Dispensary,I9gz5IHdb9b,101201-2,i14gx03DMQe,Dar es Salaam,Ilala Municipal Council,Gerezani Dispensary,Gerezani Dispensary,,CDC,MDH,2
887,TZ4VtbCwjsW,Maruku Health Center,TZ4VtbCwjsW,104358-7,WIObMhWmlpO,Kagera,Bukoba District Council,Maruku Health Center,Maruku Health Center,,CDC,MDH,2
888,ZzavXcQByet,Aga Khan Other Hospital,ZzavXcQByet,100047-0,iyTrDIzMLo1,Dar es Salaam,Ilala Municipal Council,Aga Khan Other Hospital,Aga Khan Other Hospital,,CDC,MDH,2
889,Ts6Tc5ipzcQ,Kitua Dispensary,Ts6Tc5ipzcQ,103192-1,CDk2Wp39Ii6,Kagera,Muleba District Council,Kitua Dispensary,Kitua Dispensary,,CDC,MDH,2
890,CioXG5DYv3T,Bulila Dispensary,CioXG5DYv3T,108707-1,qvhXcAsApWk,Kagera,Bukoba District Council,Bulila Dispensary,Bulila Dispensary,,CDC,MDH,2
891,l7r5IBZ2hUO,Nata Dispensary,l7r5IBZ2hUO,106211-6,uvXKyvu0XnH,Tabora,Nzega District Council,Nata Dispensary,Nata Dispensary,,CDC,MDH,2
892,TbXD6iw5q2E,St Philipo Health Center,TbXD6iw5q2E,110858-8,YefmJLZJuL3,Tabora,Tabora Municipal Council,St Philipo Health Center,St Philipo Health Center,,CDC,MDH,2
893,Qfg1rqH8egU,Nyakabanga Dispensary,Qfg1rqH8egU,106651-3,vI7oHA6Fb9r,Kagera,Karagwe District Council,Nyakabanga Dispensary,Nyakabanga Dispensary,,CDC,MDH,2
894,WtigL5Ph6lW,St. Monica Modern Health Center,WtigL5Ph6lW,107617-3,w7Ovmh5tUYy,Dar es Salaam,Ubungo Municipal Council,St. Monica Modern Health Center,St. Monica Modern Health Center,,CDC,MDH,2
895,wGbSI83Fcy3,Bugango Dispensary,wGbSI83Fcy3,100439-9,csNOo4yJdar,Kagera,Missenyi District Council,Bugango Dispensary,Bugango Dispensary,,CDC,MDH,2
896,VW7sf9oGaif,Mabibo Dispensary,VW7sf9oGaif,103818-1,ytxpicBY0p9,Dar es Salaam,Ubungo Municipal Council,Mabibo Dispensary,Mabibo Dispensary,,CDC,MDH,2
897,l9uVpZW4nou,Sandali Dispensary,l9uVpZW4nou,110280-5,QQa16VdskkJ,Dar es Salaam,Temeke Municipal Council,Sandali Dispensary,Sandali Dispensary,,CDC,MDH,2
898,af88dAlwxWe,Tumaini Dispensary,af88dAlwxWe,110103-9,CNdfwFLR71C,Kagera,Muleba District Council,Tumaini Dispensary,Tumaini Dispensary,,CDC,MDH,2
899,yiabxJKayHy,Igurubi Health Center,yiabxJKayHy,101594-0,zCmoZp1XVXq,Tabora,Igunga District Council,Igurubi Health Center,Igurubi Health Center,,CDC,MDH,2
900,dUNWSoAIVPb,Nshamba Health Center,dUNWSoAIVPb,106577-0,VePJf7irxGs,Kagera,Muleba District Council,Nshamba Health Center,Nshamba Health Center,,CDC,MDH,2
901,i4p5FQFL1By,Mazinga Dispensary,i4p5FQFL1By,104531-9,Yvxx3e936bM,Kagera,Muleba District Council,Mazinga Dispensary,Mazinga Dispensary,,CDC,MDH,2
902,D261u64ugNV,Mutukula Dispensary,D261u64ugNV,105725-6,aqW3Jug5RSy,Kagera,Missenyi District Council,Mutukula Dispensary,Mutukula Dispensary,,CDC,MDH,2
903,c7C3iV6Eeti,Igusule Dispensary,c7C3iV6Eeti,101596-5,qMYC9zKyado,Tabora,Nzega District Council,Igusule Dispensary,Igusule Dispensary,,CDC,MDH,2
904,i3b03ke569H,Itumba Dispensary,i3b03ke569H,102008-0,xculW7iQgyL,Tabora,Igunga District Council,Itumba Dispensary,Itumba Dispensary,,CDC,MDH,2
905,flBeYiZPRvU,Kagera Sugar Other Hospital,flBeYiZPRvU,102166-6,ANINRtvfRyx,Kagera,Missenyi District Council,Kagera Sugar Other Hospital,Kagera Sugar Other Hospital,,CDC,MDH,2
906,NgLKDV8bflK,Kaisho Dispensary,NgLKDV8bflK,102195-5,RYsKn91XUjL,Kagera,Kyerwa District Council,Kaisho Dispensary,Kaisho Dispensary,,CDC,MDH,2
907,co2d8S5T1DS,St' Ann' Mission Other Hospital,co2d8S5T1DS,101837-3,d1AYX9NxGsU,Tabora,Tabora Municipal Council,St' Ann' Mission Other Hospital,St' Ann' Mission Other Hospital,,CDC,MDH,2
908,pepoAVLfU8i,Kyamyorwa Dispensary,pepoAVLfU8i,103424-8,ewUwsQkGWRn,Kagera,Muleba District Council,Kyamyorwa Dispensary,Kyamyorwa Dispensary,,CDC,MDH,2
909,Ar1TJZ5mqvz,Bochi Other Hospital,Ar1TJZ5mqvz,100388-8,Po6w9qLXDXb,Dar es Salaam,Ubungo Municipal Council,Bochi Other Hospital,Bochi Other Hospital,,CDC,MDH,2
910,lirlA9YSSoB,Ilemera Dispensary,lirlA9YSSoB,101735-9,yze33GyUxF4,Kagera,Muleba District Council,Ilemera Dispensary,Ilemera Dispensary,,CDC,MDH,2
911,ThrbgoMJycJ,Kyota Dispensary,ThrbgoMJycJ,103438-8,X09Upi9AW1D,Kagera,Muleba District Council,Kyota Dispensary,Kyota Dispensary,,CDC,MDH,2
912,UdPaOPveK4Z,Kashenye Dispensary,UdPaOPveK4Z,102431-4,NjHVd6A9hKC,Kagera,Missenyi District Council,Kashenye Dispensary,Kashenye Dispensary,,CDC,MDH,2
913,ApGRO8HqrEP,Hananasif Dispensary,ApGRO8HqrEP,108644-6,hiRowyC7K0V,Dar es Salaam,Kinondoni Municipal Council,Hananasif Dispensary,Hananasif Dispensary,,CDC,MDH,2
914,aroTO1QVns3,Miswaki Dispensary,aroTO1QVns3,104991-5,GBAqUuJk5i2,Tabora,Uyui District Council,Miswaki Dispensary,Miswaki Dispensary,,CDC,MDH,2
915,eDcCkTAkcII,Kipili Dispensary,eDcCkTAkcII,103003-0,RARMwdbYmJA,Tabora,Sikonge District Council,Kipili Dispensary,Kipili Dispensary,,CDC,MDH,2
916,hHphSVkWpxj,Kamsekwa Dispensary,hHphSVkWpxj,102295-3,D3qiU0kQ6C2,Tabora,Urambo District Council,Kamsekwa Dispensary,Kamsekwa Dispensary,,CDC,MDH,2
917,WhKuygbhdS4,Kigarama Dispensary,WhKuygbhdS4,102700-2,wOU889zQHs2,Kagera,Missenyi District Council,Kigarama Dispensary,Kigarama Dispensary,,CDC,MDH,2
918,Cdq98pw4L4k,Kyaka Dispensary,Cdq98pw4L4k,103421-4,utPBfGu5NLf,Kagera,Missenyi District Council,Kyaka Dispensary,Kyaka Dispensary,,CDC,MDH,2
919,MmDAQRkRTju,Goba Dispensary,MmDAQRkRTju,101229-3,afxogKDQ4jN,Dar es Salaam,Ubungo Municipal Council,Goba Dispensary,Goba Dispensary,,CDC,MDH,2
920,IQ1r2hd8i9I,Rabininsia Memorial Other Hospital,IQ1r2hd8i9I,104853-7,AJimy7hwmux,Dar es Salaam,Kinondoni Municipal Council,Rabininsia Memorial Other Hospital,Rabininsia Memorial Other Hospital,,CDC,MDH,2
921,csQBukdLNM3,Mabawe Health Center,csQBukdLNM3,103817-3,s5fiWtVGmoJ,Kagera,Ngara District Council,Mabawe Health Center,Mabawe Health Center,,CDC,MDH,2
922,X7nI8jelIBB,Kimwani Dispensary,X7nI8jelIBB,102920-6,bxgf9s9vpm3,Kagera,Muleba District Council,Kimwani Dispensary,Kimwani Dispensary,,CDC,MDH,2
923,qfrrOwlWA4k,Toangoma Dispensary,qfrrOwlWA4k,107855-9,VcBeDwMI56d,Dar es Salaam,Temeke Municipal Council,Toangoma Dispensary,Toangoma Dispensary,,CDC,MDH,2
924,RbYGPUWBhUk,Temeke Sda Dispensary,RbYGPUWBhUk,107327-9,p51NRbvdmC6,Dar es Salaam,Temeke Municipal Council,Temeke Sda Dispensary,Temeke Sda Dispensary,,CDC,MDH,2
925,LkRfCyAECEZ,Mjimwema Dispensary,LkRfCyAECEZ,105029-3,n4wEJM7dnKp,Dar es Salaam,Kigamboni Municipal Council,Mjimwema Dispensary,Mjimwema Dispensary,,CDC,MDH,2
926,y1mKFsXXH6m,Lusahunga Dispensary,y1mKFsXXH6m,103747-2,jDCcorbRCj9,Kagera,Biharamulo District Council,Lusahunga Dispensary,Lusahunga Dispensary,,CDC,MDH,2
927,fl3TS7ihRl4,Kamachumu Health Center,fl3TS7ihRl4,102270-6,C59ZkyVdNvX,Kagera,Muleba District Council,Kamachumu Health Center,Kamachumu Health Center,,CDC,MDH,2
928,AMk86p7uOSl,Rulenge Other Hospital,AMk86p7uOSl,107153-9,DPQjmN3aklU,Kagera,Ngara District Council,Rulenge Other Hospital,Rulenge Other Hospital,,CDC,MDH,2
929,WlUFF56THDG,Masana Other Hospital,WlUFF56THDG,108627-1,nPh5JYQQyqa,Dar es Salaam,Kinondoni Municipal Council,Masana Other Hospital,Masana Other Hospital,,CDC,MDH,2
930,EVymAzcmx8w,Mtoni Dispensary,EVymAzcmx8w,110283-9,DaAqkhkeGhs,Dar es Salaam,Temeke Municipal Council,Mtoni Dispensary,Mtoni Dispensary,,CDC,MDH,2
931,av7cOiKhqPT,Ocean Road Cancer Institute (Orci) National Super Specialist Hospital,av7cOiKhqPT,106880-8,mu76HF74hVE,Dar es Salaam,Ilala Municipal Council,Ocean Road Cancer Institute (Orci) National Super Specialist Hospital,Ocean Road Cancer Institute (Orci) National Super Specialist Hospital,,CDC,MDH,2
932,gROMMOHeZMm,Rubale Health Center,gROMMOHeZMm,107122-4,ogCliPFoQMn,Kagera,Bukoba District Council,Rubale Health Center,Rubale Health Center,,CDC,MDH,2
933,DJ3vpM5iKw3,Kabanga Dispensary,DJ3vpM5iKw3,111511-2,LyNAYlcBAPW,Kagera,Ngara District Council,Kabanga Dispensary,Kabanga Dispensary,,CDC,MDH,2
934,jq4cVFEHJvg,Mongo La Ndege Dispensary,jq4cVFEHJvg,105291-9,z9wb3tE240D,Dar es Salaam,Ilala Municipal Council,Mongo La Ndege Dispensary,Mongo La Ndege Dispensary,,CDC,MDH,2
935,jOHsaM3cvew,Mvuti Dispensary,jOHsaM3cvew,105778-5,UWNOU9wKaLT,Dar es Salaam,Ilala Municipal Council,Mvuti Dispensary,Mvuti Dispensary,,CDC,MDH,2
936,VI4iri2NtsJ,Kikomakoma Dispensary,VI4iri2NtsJ,102783-8,QcSA3UT88Dr,Kagera,Biharamulo District Council,Kikomakoma Dispensary,Kikomakoma Dispensary,,CDC,MDH,2
937,Uw55PZn552w,Isevya Dispensary,Uw55PZn552w,101904-1,xLKFvUIE8W8,Tabora,Tabora Municipal Council,Isevya Dispensary,Isevya Dispensary,,CDC,MDH,2
938,TvJZLneQ1jb,Arafa Ugweno Health Center,TvJZLneQ1jb,100168-4,L6y9Td4JDli,Dar es Salaam,Temeke Municipal Council,Arafa Ugweno Health Center,Arafa Ugweno Health Center,,CDC,MDH,2
939,AbUVbgOGWRx,Nyakahura Health Center,AbUVbgOGWRx,106658-8,DY0puFZLNg3,Kagera,Biharamulo District Council,Nyakahura Health Center,Nyakahura Health Center,,CDC,MDH,2
940,DXL2SqVVp0g,Kibada Health Center,DXL2SqVVp0g,102567-5,KD1klbFhrzT,Dar es Salaam,Kigamboni Municipal Council,Kibada Health Center,Kibada Health Center,,CDC,MDH,2
941,bTYUFn8Hex4,Isagenhe Dispensary,bTYUFn8Hex4,101867-0,C5JsZPWHqs2,Tabora,Nzega District Council,Isagenhe Dispensary,Isagenhe Dispensary,,CDC,MDH,2
942,uskwMT3pQbA,Kitwechenkura Dispensary,uskwMT3pQbA,103206-9,BTUdOtN0bwW,Kagera,Kyerwa District Council,Kitwechenkura Dispensary,Kitwechenkura Dispensary,,CDC,MDH,2
943,V6IBpK29JGz,Kerebe Dispensary,V6IBpK29JGz,102544-4,MRIQN0ghaPV,Kagera,Muleba District Council,Kerebe Dispensary,Kerebe Dispensary,,CDC,MDH,2
944,d5qPobvue1t,Loyrdes Dispensary,d5qPobvue1t,103586-4,HKggVeBY3wN,Kagera,Ngara District Council,Loyrdes Dispensary,Loyrdes Dispensary,,CDC,MDH,2
945,kY25CGqxnT6,Majohe Health Center,kY25CGqxnT6,104067-4,lfgP84UaDH3,Dar es Salaam,Ilala Municipal Council,Majohe Health Center,Majohe Health Center,,CDC,MDH,2
946,QrbguyuT41o,Kamalendi Dispensary,QrbguyuT41o,102272-2,qGVW7rvyvFo,Tabora,Urambo District Council,Kamalendi Dispensary,Kamalendi Dispensary,,CDC,MDH,2
947,kToFW8kpxXz,Nyakibimbili Dispensary,kToFW8kpxXz,106674-5,tcAGWUQbYQX,Kagera,Bukoba District Council,Nyakibimbili Dispensary,Nyakibimbili Dispensary,,CDC,MDH,2
948,IMV5HOZxY4u,Katoro Health Center,IMV5HOZxY4u,102485-0,AinrX0kaPeX,Kagera,Bukoba District Council,Katoro Health Center,Katoro Health Center,,CDC,MDH,2
949,tuxRXcDELh6,Boko Dispensary,tuxRXcDELh6,100390-4,QkP30aIaKB3,Dar es Salaam,Kinondoni Municipal Council,Boko Dispensary,Boko Dispensary,,CDC,MDH,2
950,WnEfUl8XMvz,Kivule Dispensary,WnEfUl8XMvz,103216-8,yapdu1Zgnw2,Dar es Salaam,Ilala Municipal Council,Kivule Dispensary,Kivule Dispensary,,CDC,MDH,2
951,O0eh94x2w6F,Mwamala Dispensary,O0eh94x2w6F,105853-6,Wv8Famu9Pvd,Tabora,Nzega District Council,Mwamala Dispensary,Mwamala Dispensary,,CDC,MDH,2
952,ESn94JM9eXn,Charambe Dispensary,ESn94JM9eXn,111617-7,aPbGdP3PoYL,Dar es Salaam,Temeke Municipal Council,Charambe Dispensary,Charambe Dispensary,,CDC,MDH,2
953,nmOsQhEUyKk,Kishogo Dispensary,nmOsQhEUyKk,103104-6,ooiEHFyArFZ,Kagera,Bukoba District Council,Kishogo Dispensary,Kishogo Dispensary,,CDC,MDH,2
954,xCIB7rbBQDn,Kiloleni Dispensary,xCIB7rbBQDn,102866-1,fgsdsoyWoNB,Tabora,Tabora Municipal Council,Kiloleni Dispensary,Kiloleni Dispensary,,CDC,MDH,2
955,moGTF4EaAj3,Kashozi Health Center,moGTF4EaAj3,102436-3,itI9n8LZCex,Kagera,Bukoba District Council,Kashozi Health Center,Kashozi Health Center,,CDC,MDH,2
956,SwEhV8fGExb,Kinondoni Other Hospital,SwEhV8fGExb,101017-2,UzGgEE8p9VN,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Other Hospital,Kinondoni Other Hospital,,CDC,MDH,2
957,K4DNisOsqKC,Mazinge Health Center,K4DNisOsqKC,104533-5,Yb1Q5k5eYpe,Tabora,Sikonge District Council,Mazinge Health Center,Mazinge Health Center,,CDC,MDH,2
958,s8dZmmsyrCG,Rushwa Dispensary,s8dZmmsyrCG,107172-9,W3ZXfILNJ6v,Kagera,Muleba District Council,Rushwa Dispensary,Rushwa Dispensary,,CDC,MDH,2
959,P9HTazyYuR7,Rwabwere Dispensary,P9HTazyYuR7,107190-1,Jd3snvMaC2l,Kagera,Kyerwa District Council,Rwabwere Dispensary,Rwabwere Dispensary,,CDC,MDH,2
960,qOo0gO7XNxn,Lusu Health Center,qOo0gO7XNxn,103759-7,u8NhChkPU2N,Tabora,Nzega District Council,Lusu Health Center,Lusu Health Center,,CDC,MDH,2
961,STFDfeN9Ikc,Seleli Dispensary,STFDfeN9Ikc,107356-8,pSbBumxDpLx,Tabora,Kaliua District Council,Seleli Dispensary,Seleli Dispensary,,CDC,MDH,2
962,Z8Nbkim7i5u,Igwisi Dispensary,Z8Nbkim7i5u,101600-5,gZIEq7HWKSj,Tabora,Kaliua District Council,Igwisi Dispensary,Igwisi Dispensary,,CDC,MDH,2
963,SATFgyMeulI,Nyakaiga Other Hospital,SATFgyMeulI,106659-6,SGLhxSsBPub,Kagera,Karagwe District Council,Nyakaiga Other Hospital,Nyakaiga Other Hospital,,CDC,MDH,2
964,ejISOeilMda,Ibosa Dispensary,ejISOeilMda,101448-9,PIdK7qOL1O4,Kagera,Bukoba District Council,Ibosa Dispensary,Ibosa Dispensary,,CDC,MDH,2
965,zfOtWUh5rlx,Ilolangulu Dispensary,zfOtWUh5rlx,101750-8,PGIWbPrKV48,Tabora,Uyui District Council,Ilolangulu Dispensary,Ilolangulu Dispensary,,CDC,MDH,2
966,itHo4nTBvb7,Gongo La Mboto Dispensary,itHo4nTBvb7,108487-0,IOOQsGJ9cJK,Dar es Salaam,Ilala Municipal Council,Gongo La Mboto Dispensary,Gongo La Mboto Dispensary,,CDC,MDH,2
967,NF33kA0sZuG,Nyakatuntu Dispensary,NF33kA0sZuG,106671-1,AKw82o0wBqS,Kagera,Kyerwa District Council,Nyakatuntu Dispensary,Nyakatuntu Dispensary,,CDC,MDH,2
968,hWgmkP4PoYQ,Ibiri Dispensary,hWgmkP4PoYQ,101441-4,upeTUnjgzRa,Tabora,Uyui District Council,Ibiri Dispensary,Ibiri Dispensary,,CDC,MDH,2
969,AhyyMy9lXz2,Miguwa Dispensary,AhyyMy9lXz2,104885-9,ibuBNT1r2WC,Tabora,Nzega Town Council,Miguwa Dispensary,Miguwa Dispensary,,CDC,MDH,2
970,tH8EmbF9gMc,Buhembe Dispensary,tH8EmbF9gMc,100474-6,bcZSE7YZFjK,Kagera,Bukoba Municipal Council,Buhembe Dispensary,Buhembe Dispensary,,CDC,MDH,2
971,RIb6JUbSYVw,Mzinga Dispensary,RIb6JUbSYVw,106053-2,cLfGkVvCYvp,Dar es Salaam,Temeke Municipal Council,Mzinga Dispensary,Mzinga Dispensary,,CDC,MDH,2
972,QG1UkTU03a6,Rukaragata Health Center,QG1UkTU03a6,107149-7,o8U8cF4FARi,Kagera,Biharamulo District Council,Rukaragata Health Center,Rukaragata Health Center,,CDC,MDH,2
973,Rx2w8hbH8VA,Mbutu Dispensary,Rx2w8hbH8VA,104663-0,mhMjPhHSQP3,Tabora,Nzega District Council,Mbutu Dispensary,Mbutu Dispensary,,CDC,MDH,2
974,juqSZ72ubcN,Kaliua Govn Health Center,juqSZ72ubcN,109992-8,c6lSwNqFE8N,Tabora,Kaliua District Council,Kaliua Govn Health Center,Kaliua Govn Health Center,,CDC,MDH,2
975,qk3NExaiCqo,Zugimlole Dispensary,qk3NExaiCqo,108429-2,VRUkmXZmLky,Tabora,Kaliua District Council,Zugimlole Dispensary,Zugimlole Dispensary,,CDC,MDH,2
976,JYVzwnchfO1,Minziro Dispensary,JYVzwnchfO1,104953-5,FqqYTS1dRpM,Kagera,Missenyi District Council,Minziro Dispensary,Minziro Dispensary,,CDC,MDH,2
977,Yc6Dt4UL6yl,Chuo Kikuu Health Center,Yc6Dt4UL6yl,108106-6,VVx9Jrg9RA6,Dar es Salaam,Ubungo Municipal Council,Chuo Kikuu Health Center,Chuo Kikuu Health Center,,CDC,MDH,2
978,IEAO4J3Yb4b,Nhwande Dispensary,IEAO4J3Yb4b,111212-7,puObA46yiFD,Tabora,Kaliua District Council,Nhwande Dispensary,Nhwande Dispensary,,CDC,MDH,2
979,xIjcP6UOtjO,Mibono Dispensary,xIjcP6UOtjO,104815-6,aVhhbNsFARG,Tabora,Sikonge District Council,Mibono Dispensary,Mibono Dispensary,,CDC,MDH,2
980,Qq4bQGO0xL6,Kagoma Dispensary,Qq4bQGO0xL6,102168-2,SxoY3yflmK3,Kagera,Muleba District Council,Kagoma Dispensary,Kagoma Dispensary,,CDC,MDH,2
981,fC6sOCEvNQf,Buyango Dispensary,fC6sOCEvNQf,100629-5,pLGgXHyh1ow,Kagera,Missenyi District Council,Buyango Dispensary,Buyango Dispensary,,CDC,MDH,2
982,jcX5VaZUCh7,Shitage Dispensary,jcX5VaZUCh7,107437-6,l3ld3g36Ccg,Tabora,Uyui District Council,Shitage Dispensary,Shitage Dispensary,,CDC,MDH,2
983,S5HmkORURub,Kibare Dispensary,S5HmkORURub,102586-5,NE03JOVrNfZ,Kagera,Kyerwa District Council,Kibare Dispensary,Kibare Dispensary,,CDC,MDH,2
984,eTJaYUOeHH8,Kingugi Dispensary,eTJaYUOeHH8,102954-5,tZBeazHcy6X,Dar es Salaam,Temeke Municipal Council,Kingugi Dispensary,Kingugi Dispensary,,CDC,MDH,2
985,CL9R2Kg25iD,Tumaini Mission Health Center,CL9R2Kg25iD,107933-4,udWqWKqs9BD,Dar es Salaam,Temeke Municipal Council,Tumaini Mission Health Center,Tumaini Mission Health Center,,CDC,MDH,2
986,YvQ0Z1pPHUk,Mwisole Dispensary,YvQ0Z1pPHUk,106030-0,HoVDYbY7nWl,Tabora,Uyui District Council,Mwisole Dispensary,Mwisole Dispensary,,CDC,MDH,2
987,DazTsFpixUF,Nsungwa Dispensary,DazTsFpixUF,106591-1,pu94vH1DiKC,Tabora,Kaliua District Council,Nsungwa Dispensary,Nsungwa Dispensary,,CDC,MDH,2
988,BuQODYvpN2Y,Ukumbisiganga Dispensary,BuQODYvpN2Y,108062-1,Ae4372dVP2j,Tabora,Kaliua District Council,Ukumbisiganga Dispensary,Ukumbisiganga Dispensary,,CDC,MDH,2
989,zDKUGSWdDxc,Bumbire Dispensary,zDKUGSWdDxc,109071-1,Dv2CXZT3NFh,Kagera,Muleba District Council,Bumbire Dispensary,Bumbire Dispensary,,CDC,MDH,2
990,ZEkdMcbaa6X,Mavurunza Dispensary,ZEkdMcbaa6X,104504-6,f6zxd3YSbUe,Dar es Salaam,Ubungo Municipal Council,Mavurunza Dispensary,Mavurunza Dispensary,,CDC,MDH,2
991,DG7lGnpQbW1,Ufuluma Dispensary,DG7lGnpQbW1,108017-5,nLnIIENXj1i,Tabora,Uyui District Council,Ufuluma Dispensary,Ufuluma Dispensary,,CDC,MDH,2
992,fOR3gTfFtB9,Kimbiji Health Center,fOR3gTfFtB9,102905-7,M2aFrXo34UW,Dar es Salaam,Kigamboni Municipal Council,Kimbiji Health Center,Kimbiji Health Center,,CDC,MDH,2
993,wx1dIWiolVd,Katare Dispensary,wx1dIWiolVd,102466-0,tiDMfsQHbs9,Kagera,Bukoba District Council,Katare Dispensary,Katare Dispensary,,CDC,MDH,2
994,GExxlqnttFf,Kichemchem Dispensary,GExxlqnttFf,102646-7,TOz2Dcwiyq1,Dar es Salaam,Temeke Municipal Council,Kichemchem Dispensary,Kichemchem Dispensary,,CDC,MDH,2
995,UYAqjUFG98B,Sungwizi Dispensary,UYAqjUFG98B,107672-8,gDme0dTh8Lb,Tabora,Igunga District Council,Sungwizi Dispensary,Sungwizi Dispensary,,CDC,MDH,2
996,t2TXSgrXZ03,Ikunyu Dispensary,t2TXSgrXZ03,101692-2,YiG0d3ejzua,Kagera,Bukoba District Council,Ikunyu Dispensary,Ikunyu Dispensary,,CDC,MDH,2
997,LzXtybMmD72,Bulangamilwa Dispensary,LzXtybMmD72,100529-7,KNVM48HI1Qn,Tabora,Igunga District Council,Bulangamilwa Dispensary,Bulangamilwa Dispensary,,CDC,MDH,2
998,fQ9iIjxDYt8,Ussongo Rc Health Center,fQ9iIjxDYt8,108188-4,he9v0uorvD7,Tabora,Igunga District Council,Ussongo Rc Health Center,Ussongo Rc Health Center,,CDC,MDH,2
999,HHkTOBMdSR0,Mbagala Kuu Dispensary,HHkTOBMdSR0,110815-8,B06SOBodzGi,Dar es Salaam,Temeke Municipal Council,Mbagala Kuu Dispensary,Mbagala Kuu Dispensary,,CDC,MDH,2
1000,w9I6ynovui9,Burigi Dispensary,w9I6ynovui9,100011-6,ZqdxznrwODe,Kagera,Muleba District Council,Burigi Dispensary,Burigi Dispensary,,CDC,MDH,2
1001,SgWByXXSVpk,Kilimilile Dispensary,SgWByXXSVpk,102850-5,kK6PlyarSPC,Kagera,Missenyi District Council,Kilimilile Dispensary,Kilimilile Dispensary,,CDC,MDH,2
1002,dXhYabJON3d,Keko Mwanga Dispensary,dXhYabJON3d,102531-1,KGF70Zoh13U,Dar es Salaam,Temeke Municipal Council,Keko Mwanga Dispensary,Keko Mwanga Dispensary,,CDC,MDH,2
1003,PDM9MxNzI1r,Ugembe Dispensary,PDM9MxNzI1r,108023-3,eviNaPhSWRk,Tabora,Nzega District Council,Ugembe Dispensary,Ugembe Dispensary,,CDC,MDH,2
1004,m1lghsyiWxL,Itunduru Dispensary,m1lghsyiWxL,102014-8,HB8CThKB4N4,Tabora,Igunga District Council,Itunduru Dispensary,Itunduru Dispensary,,CDC,MDH,2
1005,hoL1Vt5ZHOP,Mwangoye Dispensary,hoL1Vt5ZHOP,105933-6,Jl8zBK1fnOF,Tabora,Nzega District Council,Mwangoye Dispensary,Mwangoye Dispensary,,CDC,MDH,2
1006,KKZjXjUv2AC,Kyerwa Dispensary,KKZjXjUv2AC,103433-9,TzmfGl0h6o0,Kagera,Kyerwa District Council,Kyerwa Dispensary,Kyerwa Dispensary,,CDC,MDH,2
1007,ZeE1VGY7Ny2,Nyaishozi Dispensary,ZeE1VGY7Ny2,106649-7,nmKPO5m9cZv,Kagera,Karagwe District Council,Nyaishozi Dispensary,Nyaishozi Dispensary,,CDC,MDH,2
1008,svuZjNg3aoc,Kamuli Health Center,svuZjNg3aoc,102298-7,Exhdac4hcK3,Kagera,Kyerwa District Council,Kamuli Health Center,Kamuli Health Center,,CDC,MDH,2
1009,B3CxqlD4IJW,Uvinza Health Center,B3CxqlD4IJW,108225-4,R2uH6L58I6h,Kigoma,Uvinza District Council,Uvinza Health Center,Uvinza Health Center,,CDC,THPS,2
1010,pkmpYPSHuCL,Majengo Health Center,pkmpYPSHuCL,104048-4,tsxz7Lid9VZ,Tanga,Korogwe Town Council,Majengo Health Center,Majengo Health Center,,CDC,THPS,2
1011,Sc54cMk8xQ7,Lugoba Health Center,Sc54cMk8xQ7,103643-3,srkMLbk2hqL,Pwani,Chalinze District Council,Lugoba Health Center,Lugoba Health Center,,CDC,THPS,2
